"aa_id"|"school_id"|"depositdate"|"amount"|"discount"|"lastupdate"|"staffid"|"remarks"|"commission"
"S035500"|3|"20180324"|1200|""|"20180324120729"|""|""|"Y"
"S035719"|670|"20180324"|300|""|"20180324175053"|""|""|"Y"
"S036246"|464|"20180326"|10750|""|"20180326115242"|""|""|"Y"
"S033064"|4|"20180326"|14187|""|"20180326174731"|""|""|"Y"
"S036782"|133|"20180326"|4454|""|"20180326183457"|""|""|"Y"
"S036542"|133|"20180327"|4454|""|"20180327105123"|""|""|"Y"
"S035718"|6|"20180327"|15000|""|"20180327105857"|""|""|"Y"
"S036298"|133|"20180327"|4454|""|"20180327125704"|""|""|"Y"
"S034784"|278|"20180424"|1500|""|"20180424103107"|""|""|"Y"
"S036807"|133|"20180327"|4454|""|"20180327163126"|""|""|"Y"
"S036305"|351|"20180327"|9800|""|"20180327184950"|""|""|"Y"
"S036819"|452|"20180328"|500|""|"20180328103938"|""|""|"Y"
"S032924"|577|"20180328"|4000|""|"20180328104205"|""|""|"Y"
"S036515"|133|"20180329"|4454|""|"20180329111214"|""|""|"Y"
"S033544"|4|"20180329"|14187|""|"20180329122426"|""|""|"Y"
"S036693"|250|"20180329"|11497|""|"20180329134924"|""|""|"Y"
"S036900"|452|"20180329"|500|""|"20180329142102"|""|""|"Y"
"S034557"|4|"20180406"|14187|""|"20180406101943"|""|""|"Y"
"S036689"|10|"20180403"|14710|""|"20180403105845"|"AA00054"|""|"Y"
"S035062"|16|"20180410"|11000|""|"20180410150909"|""|""|"Y"
"S036406"|50|"20180403"|9500|""|"20180403181958"|"AA00054"|""|"Y"
"S036787"|133|"20180319"|4454|""|"20180404104502"|"AA00029"|""|"Y"
"S036120"|687|"20180406"|12000|""|"20180406102038"|"AA00071"|""|"Y"
"S036624"|504|"20180406"|5500|""|"20180406104722"|""|""|"Y"
"S036697"|452|"20180403"|500|"500"|"20180406113702"|""|"Deposit - GBP500 paid on 3/4/2018
Balance - GBP1950 due on 20/5/2018"|"Y"
"S035599"|345|"20180410"|12855|""|"20180410164906"|""|""|"Y"
"S035825"|325|"20180406"|13440|""|"20180406131949"|"AA00061"|""|"Y"
"S034184"|61|"20180406"|10200|""|"20180406153620"|""|""|"Y"
"S036559"|302|"20180407"|4500|""|"20180407122811"|""|""|"Y"
"S039360"|524|"20200227"|500|""|"20200227121930"|""|""|"Y"
"S036466"|30045|"20180413"|2000|""|"20180413115611"|""|""|"Y"
"S036979"|670|"20180412"|300|""|"20180412104757"|"AA00054"|""|"Y"
