"aa_id"|"case"|"pickupby"|"flightno"|"airline"|"arrivalairport"|"arrivaldate"|"arrivaltime"|"predepart"|"joininst"|"lastupdate"|"staffid"|"remarks"|"journeyno"|"route"
"S007710"|"Y"|"School"|"Cathay Pacific CX257"|""|"London Heathrow T3"|"20140714"|"1500"|""|""|"20140726163141"|"AA00032"|"will give us on 28July"|221|1
"S012619"|"Y"|""|"British Airways BA26"|""|"London Heathrow T5"|"20140903"|"0455"|""|""|"20140726165151"|"AA00032"|"voicemail on 26July"|8|1
"S011666"|"Y"|""|"Virgin Atlantic VS201"|""|"London Heathrow T3"|"20140829"|""|""|""|"20140726163406"|"AA00032"|"voicemail on 26July"|103|1
"S012282"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140726160906"|"AA00032"|"voicemail on 26July"|305|1
"S012282"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140804113211"|"AA00032"|"will reply and send us asap"|305|1
"S011347"|"Y"|"School"|""|""|""|"20140711"|""|""|""|"20140726151957"|"AA00032"|"call again later"|24|1
"S011347"|"Y"|"School"|""|""|""|"20140711"|""|""|""|"20140804113445"|"AA00032"|"voicemal on 4Aug"|24|1
"S012282"|"Y"|"School"|""|""|""|"20140714"|""|"itin requested"|""|"20140804113222"|"AA00032"|"will reply and send us asap"|305|1
"S012234"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140726152721"|"AA00032"|"voicemail on 26July"|53|1
"S031043"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140726160544"|"AA00032"|"voicemail on 26July"|276|1
"S007710"|"Y"|"School"|"Cathay Pacific CX257"|""|"London Heathrow T3"|"20140714"|"1500"|"itin received"|""|"20140804111715"|"AA00032"|"will give us on 28July"|221|1
"S030215"|"Y"|"School"|""|""|""|"20140714"|""|"itin received"|""|"20140801104804"|"AA00003"|"will send it today or next mon"|312|1
"S011517"|"Y"|"School"|""|""|""|"20140714"|""|"itin received"|""|"20140801104341"|"AA00003"|"voicemail on 26July"|238|1
"S006369"|"Y"|""|"British Airways BA605"|""|"London Gatwick"|"20150910"|"0600"|""|""|"20150710110700"|"AA00061"|""|382|1
"S031310"|"Y"|"School"|""|""|""|"20140714"|""|"itin received"|""|"20140801105118"|"AA00003"|"[1Aug14] asking Mrs Pang to cfm if they require transfer service for Jacob only or with family member, before sending the request to sch
will send later"|258|1
"S012234"|"Y"|"School"|""|""|""|"20140712"|""|""|""|"20140804115126"|"AA00032"|"[4Aug14]will send itin later"|53|1
"S031198"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140902"|"0535"|"itin received"|""|"20140726142052"|"AA00032"|""|38|1
"S031198"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140902"|"0535"|"request made"|""|"20140804161952"|"AA00032"|""|38|1
"S031043"|"Y"|"School"|""|""|""|"20140714"|""|""|""|"20140804115457"|"AA00032"|"voicemail on 4Aug"|276|1
"S031115"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140902"|"0535"|"itin received"|""|"20140726122915"|"AA00032"|""|141|1
"S031198"|"Y"|"School"|"British Airways BA28"|""|"London Heathrow T5"|"20140902"|"0535"|"request made"|""|"20140804162024"|"AA00032"|"request to sch on 4Aug"|38|1
"S030215"|"Y"|"School"|"Cathay Pacific CX251"|""|"London Heathrow T3"|"20140902"|"0540"|"itin received"|""|"20140804115654"|"AA00032"|""|312|1
"S012035"|"Y"|"School"|"Cathay Pacific CX255"|""|"London Heathrow T3"|"20140910"|"0620"|"itin received"|""|"20140726122458"|"AA00032"|""|354|1
"S031517"|"Y"|"WHG"|"British Airways BA26"|""|"London Heathrow T5"|"20140831"|"0455"|"itin received"|""|"20140726150341"|"AA00032"|"travel as UM"|75|1
"S031517"|"Y"|"School"|"British Airways BA26"|""|"London Heathrow T5"|"20140831"|"0455"|"request made"|""|"20140804174727"|"AA00032"|"travel as UM/ [4Aug14] req to sch"|75|1
